artist,country,points,performance_order,ranking,broadcaster,composers,contest_id,final_type,id,song,writers,spotify_id,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,contest_id_2,img_src,location,name,url,year
Amaia y Alfred,Spain,61.0,2,23,TVE,"Raul Gomez Garcia, Sylvia Ruth Santoro Lopez",c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,9c67c117-97fa-3f89-8fec-11d2d608f684,Tu Canción,"Raul Gomez Garcia, Sylvia Ruth Santoro Lopez",,,,,,,,,,,,,,c7aae442-7c52-3a14-9bf5-2fb1880fbf58,https://apex.eurovision.tv/image/52219b044b79f001fb3ee0055402f370,Lisbon,Lisbon 2018,/event/lisbon-2018,2018
Naviband,Belarus,83.0,3,17,BTRC,Artem Lukyanenka,42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,777872dc-b63a-3aed-a4b7-a28c2d102896,Story of My Life,Artem Lukyanenka,,,,,,,,,,,,,,42e0141d-3b05-3776-ba39-ea69c28e8bdb,https://apex.eurovision.tv/image/7b0be5f440549f3076e3f533d764191c,Kyiv,Kyiv 2017,/event/kyiv-2017,2017
Ilinca ft. Alex Florea,Romania,282.0,20,7,TVR,Mihai Alexandru,42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,a1356b35-0598-3de1-aa35-2e8766a99513,Yodel It!,Alexa Niculae,,,,,,,,,,,,,,42e0141d-3b05-3776-ba39-ea69c28e8bdb,https://apex.eurovision.tv/image/7b0be5f440549f3076e3f533d764191c,Kyiv,Kyiv 2017,/event/kyiv-2017,2017
Sanja Vučić ZAA,Serbia,115.0,15,18,RTS,Ivana Peters,9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,0af44bbb-40b9-3e83-8751-47ea9f6843f8,Goodbye (Shelter),Ivana Peters,,,,,,,,,,,,,,9b967659-2937-3ddc-97a8-7d4296ecdc2b,https://apex.eurovision.tv/image/9ef19ed95f0ce2f6fde40891e5ae9299,Stockholm,Stockholm 2016,/event/stockholm-2016,2016
Nika Kocharov and Young Georgian Lolitaz,Georgia,104.0,23,20,GPB,"Kote Kalandadze, Thomas G:Son",9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,86c86e9c-0e3a-3f68-8cd0-0431242f630a,Midnight Gold,Kote Kalandadze,,,,,,,,,,,,,,9b967659-2937-3ddc-97a8-7d4296ecdc2b,https://apex.eurovision.tv/image/9ef19ed95f0ce2f6fde40891e5ae9299,Stockholm,Stockholm 2016,/event/stockholm-2016,2016
Iveta Mukuchyan,Armenia,249.0,26,7,AMPTV,"Lilith Navasardyan, Levon Navasardyan",9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,de6efe61-4aa2-39dc-a668-13760f1d30d8,LoveWave,"Iveta Mukuchyan, Stephanie Crutchfield",,,,,,,,,,,,,,9b967659-2937-3ddc-97a8-7d4296ecdc2b,https://apex.eurovision.tv/image/9ef19ed95f0ce2f6fde40891e5ae9299,Stockholm,Stockholm 2016,/event/stockholm-2016,2016
Elina Born & Stig Rästa,Estonia,106.0,4,7,ERR,Stig Rästa,dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,e5a263b0-fe0e-3f19-8814-aeebba2bb484,Goodbye To Yesterday,Stig Rästa,,,,,,,,,,,,,,dcd86fee-f06a-315a-abcf-372a8fba2e7f,https://apex.eurovision.tv/image/6b2a4289be78deecd37a85af92af6725,Vienna,Vienna 2015,/event/vienna-2015,2015
Constantinos,Cyprus,72.0,5,9,CyBC,Andréas Giorgallis,c49c0307-975a-3a79-9059-7b00501e0cb4,final,e40302d5-8800-36c5-a5a9-f55d4873fb0a,Móno Gia Más,Rodoúlla Papalambrianou,,,,,,,,,,,,,,c49c0307-975a-3a79-9059-7b00501e0cb4,https://apex.eurovision.tv/image/5c185ad6be52b0e6df29f3d7a04eaf62,Oslo,Oslo 1996,/event/oslo-1996,1996
Monika Linkytė and Vaidas Baumila,Lithuania,30.0,7,18,LRT,Vytautas Bikus,dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,da5e45f1-35d8-3cb8-9da8-ec66381fba08,This Time,Monika Liubinaitė,,,,,,,,,,,,,,dcd86fee-f06a-315a-abcf-372a8fba2e7f,https://apex.eurovision.tv/image/6b2a4289be78deecd37a85af92af6725,Vienna,Vienna 2015,/event/vienna-2015,2015
Mørland & Debrah Scarlett,Norway,102.0,9,8,NRK,Kjetil Mørland,dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,c4d33e36-cc04-3f62-85f0-c645d6204712,A Monster Like Me,Kjetil Mørland,,,,,,,,,,,,,,dcd86fee-f06a-315a-abcf-372a8fba2e7f,https://apex.eurovision.tv/image/6b2a4289be78deecd37a85af92af6725,Vienna,Vienna 2015,/event/vienna-2015,2015
