id,name,normalised_name,aliases
001897e6-1eba-3b65-b463-d93f2547ce03,Tooji,tooji,{'Tooji'}
0023cd10-d9bf-3eba-b6b3-f08431c478b5,Nurit Hirsh,nurit-hirsh,{'Nurit Hirsh'}
0050b349-6048-3832-8439-623cc083e16c,Jan van Dijck,jan-van-dijck,{'Jan van Dijck'}
006ac98e-5c6c-3e17-97c9-bb3309505437,ENI,eni,{'ENI'}
008ae253-bf9b-356e-a0e4-0c4280c55da2,Dragan Mijatovic,dragan-mijatovic,{'Dragan Mijatovic'}
009722f5-a35e-3542-bba4-06a4e7bf0b99,Jonatan Cerrada,jonatan-cerrada,{'Jonatan Cerrada'}
0099bd53-6bdd-3d9c-b47e-7e873e0e7160,Rick Allison,rick-allison,{'Rick Allison'}
00a0ac84-8ea7-3f90-a046-c6bcc5107978,Claude Henri Vic,claude-henri-vic,{'Claude Henri Vic'}
00a0ca50-034a-39d1-aac8-ff2aa2bde094,Fabio Ricci,fabio-ricci,{'Fabio Ricci'}
00ad84bf-eddc-30ea-91e8-d5f3fcdb3d4e,MFÖ,mfo,{'MFÖ'}
00fc2b55-d095-3c43-ba0e-b12d2494d306,Juan Suárez,juan-suarez,{'Juan Suárez'}
01269c91-9197-3596-9772-f129a2b68f6b,Ellert Driessen,ellert-driessen,{'Ellert Driessen'}
013ec239-27c4-3179-a5ba-7e1ecd891771,O.Torvald,o-torvald,{'O.Torvald'}
014af3f4-ed6e-3065-a9f2-97085e93a5a8,Tjeerd van Zanen,tjeerd-van-zanen,"{'Tjeerd van Zanen', 'Tjeerd Van Zanen'}"
01556d68-f7cd-3646-bfe1-b1b0046b74ac,Benny Vreden,benny-vreden,{'Benny Vreden'}
01839188-6cc4-304b-9e37-74710eabfd1a,Marlain Angelidou,marlain-angelidou,{'Marlain Angelidou'}
01a8a2bc-1fb6-31db-b51c-52cc31112b52,Silvia Soro,silvia-soro,{'Silvia Soro'}
01b71dfe-c429-33ff-b5e3-b5f0587f8af3,Morgens Dam,morgens-dam,{'Morgens Dam'}
01bd584f-dd6d-336d-8dd3-2dad3ea92a22,Jean Drejac,jean-drejac,{'Jean Drejac'}
01d6f635-3324-346a-9b2a-ce1cf7e43287,Alice May,alice-may,{'Alice May'}
01e85539-e2d5-3d12-8738-8b5ac749e000,Tonicha,tonicha,{'Tonicha'}
01f8e7bf-5d0c-3ca3-b346-50bfb82ff573,Buga,buga,{'Buga'}
0200a582-7f9c-3004-8ffb-7d95987b8d17,Örlygur Smári,orlygur-smari,{'Örlygur Smári'}
