Artist,Country,PtsPoints,R/O,RankRanking,broadcaster,composers,contest_id,final_type,id,song,url,writers
MELOVIN,Ukraine,130,01,17,UAPBC,MELOVIN,c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,459bf9d8-4498-3fbe-9e2f-951162e4315b,Under The Ladder,/participant/melovin,Mike Ryals
Amaia y Alfred,Spain,61,02,23,TVE,"Raul Gomez Garcia, Sylvia Ruth Santoro Lopez",c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,9c67c117-97fa-3f89-8fec-11d2d608f684,Tu Canción,/participant/alfred-amaia,"Raul Gomez Garcia, Sylvia Ruth Santoro Lopez"
Lea Sirk,Slovenia,64,03,22,RTVSLO,"Lea Sirk, Tomy DeClerque",c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,e2fbabfe-1daf-343e-82c2-57fb62261db3,"Hvala, ne!",/participant/lea-sirk,Lea Sirk
Ieva Zasimauskaitė,Lithuania,181,04,12,LRT,Vytautas Bikus,c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,c76ba2e9-4ea1-3789-ba07-a8bc519edb04,When We're Old,/participant/Ieva-zasimauskaite,Vytautas Bikus
Cesár Sampson,Austria,342,05,3,ORF,"Sebastian Arman, Cesár Sampson, Joacim Persson, Johan Alkenäs, Borislav Milanov",c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,38f9258f-8955-3447-ad21-93136cf82a1d,Nobody But You,/participant/cesar-sampson,"Sebastian Arman, Cesár Sampson, Joacim Persson, Johan Alkenäs, Borislav Milanov"
Elina Nechayeva,Estonia,245,06,8,ERR,"Mihkel Mattisen, Timo Vendt",c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,5eca6de2-673f-30a6-8ebe-8757ac3583cd,La Forza,/participant/elina-nechayeva,"Elina Nechayeva, Ksenia Kuchukova"
Alexander Rybak,Norway,144,07,15,NRK,Alexander Rybak,c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,61722c77-cecd-31ac-ab91-93b9c12fec13,That's How You Write A Song,/participant/alexander-rybak-2018,Alexander Rybak
Cláudia Pascoal,Portugal,39,08,26,RTP,Isaura,c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,55d64e52-3a7f-3a5a-8b9f-9e9653e618b2,O Jardim,/participant/claudia-pascoal,Isaura
SuRie,United Kingdom,48,09,24,BBC,"Nicole Blair, Gil Lewis, Sean Hargreaves",c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,92c702fc-cbbc-38de-a57e-d7a3fae5fe6d,Storm,/participant/surie,"Nicole Blair, Gil Lewis, Sean Hargreaves"
Sanja Ilić & Balkanika,Serbia,113,10,19,RTS,"Aleksandar Sanja Ilić, Tatjana Karajanov Ilić",c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,0d0d6074-cca7-3e1c-96f5-a71be127cf3a,Nova Deca,/participant/sanja-ilic-balkanika,Danica Krstajić
Michael Schulte,Germany,340,11,4,NDR,"Michael Schulte, Thomas Stengaard, Katharina Müller, Nisse Ingwersen",c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,974d046d-b38f-3f9c-8d9e-7b74a46304c4,You Let Me Walk Alone,/participant/michael-schulte,"Michael Schulte, Thomas Stengaard, Katharina Müller, Nisse Ingwersen"
Eugent Bushpepa,Albania,184,12,11,RTSH,Eugent Bushpepa,c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,7743dfb6-0d3b-3ad8-9316-75cdddc286c0,Mall,/participant/eugent-bushpepa,Eugent Bushpepa
Madame Monsieur,France,173,13,13,France 3,"Emilie Satt, Jean-Karl Lucas",c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,9cd66ab9-b5c9-3163-b2dc-d00b1f8884d7,Mercy,/participant/madame-monsieur,"Emilie Satt, Jean-Karl Lucas"
Mikolas Josef,Czech Republic,281,14,6,ČT,Mikolas Josef,c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,89fd394d-bab5-389a-b06e-7d7360266422,Lie To Me,/participant/mikolas-josef,Mikolas Josef
Rasmussen,Denmark,226,15,9,DR,"Niclas Arn, Karl Eurén",c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,1338edf6-556d-3ee0-b350-93ea41090700,Higher Ground,/participant/rasmussen,"Niclas Arn, Karl Eurén"
Jessica Mauboy,Australia,99,16,20,SBS,"Anthony Egizii, David Musumeci",c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,e1f7ee5f-e5af-3ffe-af55-a188223fc1be,We Got Love,/participant/jessica-mauboy,"Anthony Egizii, David Musumeci, Jessica Mauboy"
Saara Aalto,Finland,46,17,25,YLE,"Saara Aalto, Joy Deb, Linnea Deb, Ki Fitzgerald",c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,194f0496-446b-34e1-8d3e-61ac6157d45a,Monsters,/participant/saara-aalto,"Saara Aalto, Joy Deb, Linnea Deb, Ki Fitzgerald"
EQUINOX,Bulgaria,166,18,14,BNT,"Borislav Milanov, Joacim Persson, Brandon Treyshun Campbell, Dag Lundberg",c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,7bc44a0a-72ac-3af9-82c1-f680e2d955f8,Bones,/participant/Equinox,"Borislav Milanov, Joacim Persson, Brandon Treyshun Campbell, Dag Lundberg"
DoReDoS,Moldova,209,19,10,TRM,Philipp Kirkorov,c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,1844e3d9-c14e-3712-80d0-a44a44bc280c,My Lucky Day,/participant/doredos,John Ballard
Benjamin Ingrosso,Sweden,274,20,7,SVT,"MAG, Louis Schoorl, K Nita, Benjamin Ingrosso",c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,42ad4c45-2e08-32de-be13-7038bd94ab6e,Dance You Off,/participant/benjamin-ingrosso,"MAG, Louis Schoorl, K Nita, Benjamin Ingrosso"
AWS,Hungary,93,21,21,MTV,"Bence Brucker, Dániel Kökényes, Áron Veress, Soma Schiszler",c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,1dc12132-4908-3073-8c45-6d245e68d228,Viszlát Nyár,/participant/aws,Örs Siklósi
