url,Artist,Country,PtsPoints,R/O,RankRanking,broadcaster,composers,contest_id,final_type,id,song,writers
/participant/paradise-oskar,Paradise Oskar,Finland,57,01,21,YLE,Axel Ehnström,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,e90f3b8c-8cba-35ff-930c-41977a2477f4,Da Da Dam,Axel Ehnström
/participant/dino-merlin,Dino Merlin,Bosnia & Herzegovina,125,02,6,BHRT,Dino Merlin,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,bd1db97e-0e93-333b-950f-91819d9fc1cb,Love In Rewind,Dino Merlin
/participant/a-friend-in-london,A Friend In London,Denmark,134,03,5,DR,Lise Cabble & Jakob Schack Glæsner,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,2759c7c8-7e26-3918-891f-3c5cc9b69030,New Tomorrow,Lise Cabble & Jakob Schack Glæsner
/participant/evelina-sasenko,Evelina Sašenko,Lithuania,63,04,19,LRT,Paulius Zdanavičius,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,a121c2cc-0cb6-36de-9ea4-9a2aff855949,C'est Ma Vie,Andrius Kairys
/participant/kati-wolf,Kati Wolf,Hungary,53,05,22,MTV,"Viktor Rakonczai, Gergő Rácz",888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,6c96e8b0-c23d-3fde-88a6-0d9f8d0d748d,What About My Dreams?,"Péter Geszti, Johnny K. Palmer"
/participant/jedward,Jedward,Ireland,119,06,8,RTÉ,"Daniel Priddy, Lars Halvor Jensen, Martin Michael Larsson",888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,117e2f6e-f984-3e6c-af58-7324c1174c6a,Lipstick,"Daniel Priddy, Lars Halvor Jensen, Martin Michael Larsson"
/participant/eric-saade,Eric Saade,Sweden,185,07,3,SVT,Fredrik Kempe,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,c4ace612-279e-3ab0-884e-2dabee31421a,Popular,Fredrik Kempe
/participant/getter-jaani,Getter Jaani,Estonia,44,08,24,ERR,Sven Lõhmus,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,77fa0fe1-ae22-396f-baa7-d078ee0f61dc,Rockefeller Street,Sven Lõhmus
/participant/loucas-yiorkas-feat-stereo-mike,Loucas Yiorkas feat. Stereo Mike,Greece,120,09,7,ERT,Giannis Christodoulopoulos,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,45700b30-3520-3729-ba3f-39f8b39ec45d,Watch My Dance,Eleana Vrachali
/participant/alexej-vorobjov,Alexej Vorobjov,Russia,77,10,16,C1R,"Alexej Vorobjov, RedOne, AJ Junior, Bilal ""The Chef"", Eric Sanicola",888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,2d277bee-ca39-3df5-b0c4-b8b3ee4de3d8,Get You,"Alexej Vorobjov, RedOne, AJ Junior, Bilal ""The Chef"", Eric Sanicola"
