country,wins,finale_participation,realisation
Serbia,1,5,0.2
Ukraine,2,11,0.18181818181818182
Ireland,7,43,0.16279069767441862
Luxembourg,5,38,0.13157894736842105
Israel,4,32,0.125
Latvia,1,9,0.1111111111111111
Sweden,6,54,0.1111111111111111
United Kingdom,5,57,0.08771929824561403
France,5,58,0.08620689655172414
Netherlands,4,51,0.0784313725490196
Denmark,3,39,0.07692307692307693
Estonia,1,13,0.07692307692307693
Monaco,1,21,0.047619047619047616
Italy,2,44,0.045454545454545456
Austria,2,46,0.043478260869565216
Switzerland,2,48,0.041666666666666664
Norway,2,51,0.0392156862745098
Spain,2,54,0.037037037037037035
Yugoslavia,1,27,0.037037037037037035
Turkey,1,30,0.03333333333333333
Greece,1,33,0.030303030303030304
Portugal,1,39,0.02564102564102564
Finland,1,42,0.023809523809523808
Belgium,1,51,0.0196078431372549
Germany,1,59,0.01694915254237288
Cyprus,0,28,0
Macedonia,0,8,0
Hungary,0,13,0
Russian Federation,0,16,0
Czech Republic,0,2,0
Armenia,0,7,0
Belarus,0,4,0
Romania,0,14,0
Montenegro,0,2,0
Australia,0,4,0
Bosnia and Herzegovina,0,14,0
San Marino,0,1,0
Malta,0,23,0
Albania,0,5,0
Lithuania,0,11,0
Bulgaria,0,4,0
Croatia,0,16,0
Serbia & Montenegro,0,2,0
Azerbaijan,0,6,0
Slovenia,0,13,0
Georgia,0,4,0
Morocco,0,1,0
Moldova,0,7,0
Slovakia,0,3,0
Iceland,0,20,0
Poland,0,13,0
