name	country	year
pop	Lithuania	2018
pop	France	2018
pop	Czech Republic	2018
pop	Denmark	2018
pop	Finland	2018
rock	Hungary	2018
pop	Israel	2018
pop	Cyprus	2018
pop	Armenia	2017
pop	The Netherlands	2017
ethno	Hungary	2017
pop	Australia	2017
dance	Greece	2017
eurodance	Greece	2017
pop	United Kingdom	2017
electro	Germany	2017
pop	Sweden	2017
pop	The Netherlands	2016
rock	The Netherlands	2016
pop	Azerbaijan	2016
pop	Bulgaria	2016
pop	Sweden	2016
pop	Germany	2016
pop	Australia	2016
rock	Cyprus	2016
pop	Spain	2016
pop	Malta	2016
pop	Austria	2016
pop	United Kingdom	2016
pop	France	2015
pop	Serbia	2015
pop	Sweden	2015
pop	Belgium	2015
pop	Germany	2015
alternative	Georgia	2015
ballad	Montenegro	2014
pop	Greece	2014
pop	Germany	2014
pop	France	2014
pop	Spain	2014
pop	Hungary	2014
rock	France	2013
pop	Lithuania	2013
pop	Moldova	2013
pop	Finland	2013
pop	Belgium	2013
pop	Malta	2013
dance	Germany	2013
rock	Armenia	2013
pop	Romania	2013
pop	Sweden	2013
pop	Denmark	2013
pop	Azerbaijan	2013
ballad	Azerbaijan	2013
chanson	Greece	2013
pop	Ukraine	2013
pop	Norway	2013
ballad	Georgia	2013
pop	Ireland	2013
pop	Hungary	2012
pop	Russia	2012
dance	Russia	2012
rock	Iceland	2012
dance	Cyprus	2012
pop	Cyprus	2012
pop	Norway	2012
pop	Romania	2012
pop	Denmark	2012
pop	Sweden	2012
dance	Sweden	2012
rock	Turkey	2012
pop	Germany	2012
pop	Ireland	2012
pop	Ukraine	2012
pop	Spain	2007
pop	Belarus	2007
rock	Finland	2007
pop	F.Y.R. Macedonia	2007
pop	Lithuania	2007
pop	Greece	2007
pop	Georgia	2007
alternative	Georgia	2007
rock	Sweden	2007
pop	Latvia	2007
pop	Russia	2007
dance	Russia	2007
pop-rock	Russia	2007
rock	Russia	2007
swing	Germany	2007
pop	Serbia	2007
pop	Ukraine	2007
dance	Ukraine	2007
pop	United Kingdom	2007
dance	Bulgaria	2007
pop	Turkey	2007
pop	Moldova	2007
pop	Norway	2006
pop	Malta	2006
dance	Malta	2006
pop	Germany	2006
pop	Denmark	2006
pop	F.Y.R. Macedonia	2006
pop	Romania	2006
dance	Romania	2006
ballad	Bosnia & Herzegovina	2006
pop	Bosnia & Herzegovina	2006
